Time [s],Reb PC,Env PC
17.489458000,1,0
17.489562000,1,1
17.489770000,1,0
17.490186000,1,1
17.490290000,1,0
17.490498000,1,1
17.490708000,1,0
17.491020000,1,1
17.491124000,1,0
17.491228000,1,1
17.523908000,0,1
17.524848000,1,1
17.525054000,0,1
17.525264000,1,1
17.525368000,0,1
17.525890000,1,1
17.586612000,1,0
17.586716000,1,1
17.586820000,1,0
17.586924000,1,1
17.587132000,1,0
17.587550000,1,1
17.587654000,1,0
17.588070000,1,1
17.588174000,1,0
17.588384000,1,1
17.588488000,1,0
17.588592000,1,1
17.588808000,0,1
17.588914000,1,1
17.589018000,0,1
17.589122000,1,1
17.589330000,0,1
17.589748000,1,1
19.225666000,1,0
19.225770000,1,1
19.225874000,1,0
19.225980000,1,1
19.226188000,1,0
19.226604000,1,1
19.226708000,1,0
19.226812000,1,1
19.226916000,1,0
19.227124000,1,1
19.227228000,1,0
19.227436000,1,1
19.227540000,1,0
19.227644000,1,1
19.227878000,0,1
19.227984000,1,1
19.228088000,0,1
19.228192000,1,1
19.228400000,0,1
19.228818000,1,1
19.777808000,1,0
19.777914000,1,1
19.778018000,1,0
19.778122000,1,1
19.778330000,1,0
19.778746000,1,1
19.778850000,1,0
19.778954000,1,1
19.779268000,1,0
19.779580000,1,1
19.779684000,1,0
19.779788000,1,1
19.804480000,0,1
19.804794000,1,1
19.804898000,0,1
19.805420000,1,1
19.805626000,0,1
19.805732000,1,1
19.805836000,0,1
19.806462000,1,1
19.807710000,1,0
19.807814000,1,1
19.807918000,1,0
19.808022000,1,1
19.808230000,1,0
19.808646000,1,1
19.808750000,1,0
19.808854000,1,1
19.809166000,1,0
19.809478000,1,1
19.809582000,1,0
19.809686000,1,1
19.834378000,0,1
19.834692000,1,1
19.834796000,0,1
19.835318000,1,1
19.835524000,0,1
19.835630000,1,1
19.835732000,0,1
19.836358000,1,1
19.839670000,1,0
19.839774000,1,1
19.839878000,1,0
19.839984000,1,1
19.840192000,1,0
19.840608000,1,1
19.840712000,1,0
19.840816000,1,1
19.841128000,1,0
19.841442000,1,1
19.841546000,1,0
19.841650000,1,1
19.866360000,0,1
19.866674000,1,1
19.866776000,0,1
19.867298000,1,1
19.867506000,0,1
19.867610000,1,1
19.867714000,0,1
19.868340000,1,1
19.871748000,1,0
19.871852000,1,1
19.871956000,1,0
19.872060000,1,1
19.872268000,1,0
19.872686000,1,1
19.872790000,1,0
19.872894000,1,1
19.873206000,1,0
19.873520000,1,1
19.873624000,1,0
19.873728000,1,1
19.898446000,0,1
19.898760000,1,1
19.898862000,0,1
19.899384000,1,1
19.899592000,0,1
19.900426000,1,1
19.952778000,1,0
19.952882000,1,1
19.952986000,1,0
19.953090000,1,1
19.953298000,1,0
19.953714000,1,1
19.953818000,1,0
19.954236000,1,1
19.954340000,1,0
19.954548000,1,1
19.954652000,1,0
19.954756000,1,1
19.955012000,0,1
19.955118000,1,1
19.955220000,0,1
19.955326000,1,1
19.955534000,0,1
19.955950000,1,1
20.769706000,1,0
20.769810000,1,1
20.769914000,1,0
20.770020000,1,1
20.770228000,1,0
20.770644000,1,1
20.770748000,1,0
20.770956000,1,1
20.771060000,1,0
20.771164000,1,1
20.771268000,1,0
20.771476000,1,1
20.771580000,1,0
20.771684000,1,1
20.771942000,0,1
20.772048000,1,1
20.772152000,0,1
20.772256000,1,1
20.772464000,0,1
20.772882000,1,1
20.920692000,1,0
20.920798000,1,1
20.920902000,1,0
20.921006000,1,1
20.921214000,1,0
20.921630000,1,1
20.921734000,1,0
20.921838000,1,1
20.922152000,1,0
20.922464000,1,1
20.922568000,1,0
20.922672000,1,1
20.947370000,0,1
20.947476000,1,1
20.947788000,0,1
20.947892000,1,1
20.947996000,0,1
20.948310000,1,1
20.948516000,0,1
20.948934000,1,1
20.949038000,0,1
20.949144000,1,1
20.949246000,0,1
20.949352000,1,1
20.959210000,1,0
20.959314000,1,1
20.959418000,1,0
20.959522000,1,1
20.959730000,1,0
20.960148000,1,1
20.960252000,1,0
20.960356000,1,1
20.960668000,1,0
20.960982000,1,1
20.961086000,1,0
20.961190000,1,1
20.985914000,0,1
20.986020000,1,1
20.986332000,0,1
20.986438000,1,1
20.986540000,0,1
20.986854000,1,1
20.987060000,0,1
20.987480000,1,1
20.987582000,0,1
20.987688000,1,1
20.987790000,0,1
20.987896000,1,1
20.990974000,1,0
20.991078000,1,1
20.991182000,1,0
20.991286000,1,1
20.991494000,1,0
20.991910000,1,1
20.992014000,1,0
20.992118000,1,1
20.992432000,1,0
20.992744000,1,1
20.992848000,1,0
20.992952000,1,1
21.017584000,0,1
21.017690000,1,1
21.018000000,0,1
21.018106000,1,1
21.018208000,0,1
21.018522000,1,1
21.018730000,0,1
21.019148000,1,1
21.019250000,0,1
21.019356000,1,1
21.019460000,0,1
21.019564000,1,1
21.022940000,1,0
21.023044000,1,1
21.023148000,1,0
21.023252000,1,1
21.023460000,1,0
21.023876000,1,1
21.023980000,1,0
21.024086000,1,1
21.024398000,1,0
21.024710000,1,1
21.024814000,1,0
21.024918000,1,1
21.049566000,0,1
21.049672000,1,1
21.049982000,0,1
21.050088000,1,1
21.050190000,0,1
21.050504000,1,1
21.050712000,0,1
21.051130000,1,1
21.051232000,0,1
21.051338000,1,1
21.051440000,0,1
21.051546000,1,1
21.054806000,1,0
21.054910000,1,1
21.055014000,1,0
21.055118000,1,1
21.055328000,1,0
21.055746000,1,1
21.055850000,1,0
21.056162000,1,1
21.056370000,1,0
21.056580000,1,1
21.056684000,1,0
21.056788000,1,1
21.057066000,0,1
21.057172000,1,1
21.057274000,0,1
21.057380000,1,1
21.057586000,0,1
21.058004000,1,1
21.156348000,1,0
21.156452000,1,1
21.156556000,1,0
21.156660000,1,1
21.156870000,1,0
21.157286000,1,1
21.157390000,1,0
21.157494000,1,1
21.157702000,1,0
21.157806000,1,1
21.157910000,1,0
21.158120000,1,1
21.158224000,1,0
21.158328000,1,1
21.158532000,0,1
21.158636000,1,1
21.158740000,0,1
21.158846000,1,1
21.159052000,0,1
21.159470000,1,1
21.257374000,1,0
21.257478000,1,1
21.257582000,1,0
21.257686000,1,1
21.257894000,1,0
21.258310000,1,1
21.258414000,1,0
21.258518000,1,1
21.258832000,1,0
21.259144000,1,1
21.259248000,1,0
21.259352000,1,1
21.284060000,0,1
21.284166000,1,1
21.284478000,0,1
21.284582000,1,1
21.284686000,0,1
21.285000000,1,1
21.285206000,0,1
21.285312000,1,1
21.285518000,0,1
21.285624000,1,1
21.285728000,0,1
21.285832000,1,1
21.285936000,0,1
21.286146000,1,1
21.294744000,1,0
21.294848000,1,1
21.294952000,1,0
21.295056000,1,1
21.295264000,1,0
21.295680000,1,1
21.295784000,1,0
21.295888000,1,1
21.296202000,1,0
21.296514000,1,1
21.296618000,1,0
21.296722000,1,1
21.321460000,0,1
21.321564000,1,1
21.321876000,0,1
21.321982000,1,1
21.322084000,0,1
21.322398000,1,1
21.322606000,0,1
21.323022000,1,1
21.323126000,0,1
21.323230000,1,1
21.323334000,0,1
21.323544000,1,1
21.326910000,1,0
21.327014000,1,1
21.327118000,1,0
21.327224000,1,1
21.327432000,1,0
21.327848000,1,1
21.327952000,1,0
21.328056000,1,1
21.328368000,1,0
21.328682000,1,1
21.328786000,1,0
21.328890000,1,1
21.353544000,0,1
21.353650000,1,1
21.353960000,0,1
21.354066000,1,1
21.354168000,0,1
21.354482000,1,1
21.354690000,0,1
21.354900000,1,1
21.355002000,0,1
21.355108000,1,1
21.355212000,0,1
21.355316000,1,1
21.355420000,0,1
21.355630000,1,1
21.358788000,1,0
21.358892000,1,1
21.358996000,1,0
21.359102000,1,1
21.359310000,1,0
21.359726000,1,1
21.359830000,1,0
21.359934000,1,1
21.360246000,1,0
21.360558000,1,1
21.360662000,1,0
21.360766000,1,1
21.385422000,0,1
21.385526000,1,1
21.385838000,0,1
21.385944000,1,1
21.386046000,0,1
21.386360000,1,1
21.386568000,0,1
21.386672000,1,1
21.386776000,0,1
21.386986000,1,1
21.387088000,0,1
21.387194000,1,1
21.387296000,0,1
21.387506000,1,1
21.390658000,1,0
21.390762000,1,1
21.390866000,1,0
21.390970000,1,1
21.391178000,1,0
21.391594000,1,1
21.391700000,1,0
21.392012000,1,1
21.392220000,1,0
21.392428000,1,1
21.392532000,1,0
21.392638000,1,1
21.392922000,0,1
21.393028000,1,1
21.393130000,0,1
21.393236000,1,1
21.393444000,0,1
21.393860000,1,1
21.440974000,1,0
21.441080000,1,1
21.441184000,1,0
21.441288000,1,1
21.441496000,1,0
21.441914000,1,1
21.442018000,1,0
21.442122000,1,1
21.442226000,1,0
21.442434000,1,1
21.442538000,1,0
21.442746000,1,1
21.442850000,1,0
21.442954000,1,1
21.443134000,0,1
21.443240000,1,1
21.443342000,0,1
21.443448000,1,1
21.443656000,0,1
21.444072000,1,1
22.574936000,1,0
22.575040000,1,1
22.575144000,1,0
22.575248000,1,1
22.575456000,1,0
22.575874000,1,1
22.575978000,1,0
22.576498000,1,1
22.576602000,1,0
22.576708000,1,1
22.576812000,1,0
22.576916000,1,1
22.577020000,1,0
22.577124000,1,1
22.577228000,1,0
22.577332000,1,1
22.577436000,1,0
22.577748000,1,1
22.577854000,1,0
22.577958000,1,1
22.578062000,1,0
22.578270000,1,1
22.578582000,1,0
22.578686000,1,1
22.578896000,1,0
22.579000000,1,1
22.579104000,1,0
22.579208000,1,1
22.579416000,1,0
22.579728000,1,1
22.579936000,1,0
22.580040000,1,1
22.580146000,1,0
